pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2
Kepler-107 b,Kepler-107,1,4,Transit,2014,Kepler,0,3.1800218,0.0000029,-0.0000029,0,0.04544,0.00035,-0.00035,0,1.536,0.025,-0.025,0,0.137,0.002,-0.002,0,3.51,1.52,-1.52,0,0.01104,0.00478,-0.00478,0,Mass,0,,,0,1175.38,30.84,-30.15,0,1593,19,-19,0,0,,5854,61,-61,0,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0,0.321,0.065,-0.065,0,[Fe/H],4.21,0.01,-0.01,0,19h48m06.76s,297.028162,+48d12m30.97s,48.2086019,525.997,5.697,-5.577,12.543,0.057,-0.057,11.06,0.016,-0.016,12.4627,0.000157,-0.000157
Kepler-107 c,Kepler-107,1,4,Transit,2014,Kepler,0,4.901452,0.00001,-0.00001,0,0.06064,0.00047,-0.00047,0,1.597,0.026,-0.026,0,0.142,0.002,-0.002,0,9.39,1.77,-1.77,0,0.02954,0.00557,-0.00557,0,Mass,0,,,0,659.65,17.31,-16.92,0,1379,17,-17,0,0,,5854,61,-61,0,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0,0.321,0.065,-0.065,0,[Fe/H],4.21,0.01,-0.01,0,19h48m06.76s,297.028162,+48d12m30.97s,48.2086019,525.997,5.697,-5.577,12.543,0.057,-0.057,11.06,0.016,-0.016,12.4627,0.000157,-0.000157
Kepler-107 d,Kepler-107,1,4,Transit,2014,Kepler,0,7.95839,0.00012,-0.00012,0,0.08377,0.00065,-0.00065,0,0.86,0.06,-0.06,0,0.077,0.005,-0.005,0,3.8,,,1,0.01196,,,1,Mass,0,,,0,346.11,9.08,-8.88,0,1173,14,-14,0,0,,5854,61,-61,0,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0,0.321,0.065,-0.065,0,[Fe/H],4.21,0.01,-0.01,0,19h48m06.76s,297.028162,+48d12m30.97s,48.2086019,525.997,5.697,-5.577,12.543,0.057,-0.057,11.06,0.016,-0.016,12.4627,0.000157,-0.000157
Kepler-107 e,Kepler-107,1,4,Transit,2014,Kepler,0,14.749143,0.000019,-0.000019,0,0.12639,0.00099,-0.00099,0,2.903,0.035,-0.035,0,0.259,0.003,-0.003,0,8.6,3.6,-3.6,0,0.02706,0.01133,-0.01133,0,Mass,0,,,0,151.94,3.99,-3.9,0,955,12,-12,0,0,,5854,61,-61,0,1.45,0.01,-0.01,0,1.24,0.03,-0.03,0,0.321,0.065,-0.065,0,[Fe/H],4.21,0.01,-0.01,0,19h48m06.76s,297.028162,+48d12m30.97s,48.2086019,525.997,5.697,-5.577,12.543,0.057,-0.057,11.06,0.016,-0.016,12.4627,0.000157,-0.000157
Kepler-1070 b,Kepler-1070,1,1,Transit,2016,Kepler,0,6.2216147,0.00001944,-0.00001944,0,0.0693,,,0,1.73,0.81,-0.25,0,0.154,0.072,-0.022,0,3.64,,,0,0.0115,,,0,M-R relationship,0,,,0,380.13,14.34,-13.81,0,1101,,,0,0,,6261,114.14,-114.36,0,1.32,0.61,-0.19,0,1.21,0.2,-0.1,0,0.03,0.132,-0.175,0,[Fe/H],4.27,0.11,-0.26,0,19h32m46.89s,293.1953923,+49d18m59.55s,49.316541,939.001,11.6915,-11.6915,14.133,0.149,-0.149,12.681,0.03,-0.03,13.913,0.000327,-0.000327
Kepler-1071 b,Kepler-1071,1,1,Transit,2016,Kepler,0,6.1799844,0.00001367,-0.00001367,0,0.0615,,,0,2.38,0.07,-0.14,0,0.212,0.006,-0.012,0,6.26,,,0,0.0197,,,0,M-R relationship,0,,,0,45.12,11.04,-9.44,0,814,,,0,0,,5215,78.36,-83.32,0,0.81,0.03,-0.03,0,0.86,0.03,-0.04,0,0.01,0.108,-0.113,0,[Fe/H],4.56,0.02,-0.03,0,19h32m13.92s,293.0579794,+45d14m55.49s,45.2487472,1042.27,46.837,-46.837,15.881,0.126,-0.126,13.775,0.069,-0.069,15.8291,0.00094,-0.00094
Kepler-1072 b,Kepler-1072,1,1,Transit,2016,Kepler,0,1.5690665,0.0000029,-0.0000029,0,0.0269,,,0,1.58,0.72,-0.24,0,0.141,0.064,-0.021,0,3.12,,,0,0.00982,,,0,M-R relationship,0,,,0,2944,118.71,-113.86,0,1849,,,0,0,,6199,102.85,-123.19,0,1.32,0.6,-0.2,0,1.2,0.19,-0.09,0,0.07,0.129,-0.132,0,[Fe/H],4.27,0.12,-0.26,0,19h28m10.65s,292.0443891,+46d19m44.30s,46.3289723,982.716,14.8705,-14.8705,13.972,0.149,-0.149,12.566,0.028,-0.028,13.842,0.000221,-0.000221
Kepler-1073 b,Kepler-1073,1,2,Transit,2016,Kepler,0,8.67888593,0.00002409,-0.00002409,0,0.0805,,,0,2.3,0.49,-0.25,0,0.205,0.044,-0.022,0,5.9,,,0,0.0186,,,0,M-R relationship,0,,,0,128.55,5.79,-5.51,0,905,,,0,0,,5792,252.91,-186.16,0,1,0.21,-0.11,0,1,0.1,-0.07,0,0,0.138,-0.171,0,[Fe/H],4.44,0.08,-0.15,0,19h36m36.65s,294.1527259,+38d13m59.12s,38.2330886,809.897,13.14,-12.733,14.749,0.08,-0.08,12.924,0.032,-0.032,14.5317,0.00026,-0.00026
Kepler-1073 c,Kepler-1073,1,2,Transit,2016,Kepler,0,4.02582254,0.00001484,-0.00001484,0,0.0483,,,0,1.64,0.34,-0.18,0,0.146,0.03,-0.016,0,3.33,,,0,0.0105,,,0,M-R relationship,0,,,0,357.08,16.08,-15.3,0,1169,,,0,0,,5792,252.91,-186.16,0,1,0.21,-0.11,0,1,0.1,-0.07,0,0,0.138,-0.171,0,[Fe/H],4.44,0.08,-0.15,0,19h36m36.65s,294.1527259,+38d13m59.12s,38.2330886,809.897,13.14,-12.733,14.749,0.08,-0.08,12.924,0.032,-0.032,14.5317,0.00026,-0.00026
Kepler-1074 b,Kepler-1074,1,1,Transit,2016,Kepler,0,5.94566534,0.00001443,-0.00001443,0,0.0536,,,0,1.25,0.24,-0.09,0,0.112,0.021,-0.008,0,2.1,,,0,0.0066,,,0,M-R relationship,0,,,0,27.57,2.81,-2.58,0,568,,,0,0,,4002,33.45,-33.56,0,0.57,0.02,-0.02,0,0.6,0.02,-0.03,0,-0.06,0.08,-0.09,0,[Fe/H],4.7,0.01,-0.01,0,18h57m54.40s,284.4766869,+46d15m09.64s,46.2526781,250.817,1.474,-1.474,15.599,0.092,-0.092,12.073,0.022,-0.022,15.0056,0.000391,-0.000391
Kepler-1075 b,Kepler-1075,1,1,Transit,2016,Kepler,0,1.52372816,0.0000027,-0.0000027,0,0.0208,,,0,1.42,0.16,-0.33,0,0.127,0.014,-0.029,0,2.6,,,0,0.00819,,,0,M-R relationship,0,,,0,143.97,14.86,-13.7,0,818,,,0,0,,3959,39.29,-38.69,0,0.54,0.02,-0.03,0,0.56,0.03,-0.03,0,-0.17,0.111,-0.105,0,[Fe/H],4.72,0.02,-0.02,0,19h10m00.27s,287.5011404,+47d28m08.82s,47.4691157,291.275,4.987,-4.824,15.909,0.137,-0.137,12.415,0.016,-0.016,15.3697,0.000612,-0.000612
Kepler-1076 b,Kepler-1076,1,1,Transit,2016,Kepler,0,6.14727918,0.00002112,-0.00002112,0,0.0611,,,0,0.8,0.04,-0.03,0,0.071,0.004,-0.003,0,0.437,,,0,0.00137,,,0,M-R relationship,0,,,0,83.18,19.08,-12.5,0,770,,,0,0,,4868,38.24,-45.61,0,0.74,0.01,-0.02,0,0.79,0.03,-0.04,0,-0.01,0.101,-0.111,0,[Fe/H],4.6,0.01,-0.02,0,19h10m21.66s,287.5902594,+51d03m38.18s,51.0606047,199,4.676,-5.677,13.175,0.114,-0.114,10.664,0.021,-0.021,12.9489,0.002622,-0.002622
Kepler-1077 b,Kepler-1077,1,1,Transit,2016,Kepler,0,34.3511874,0.0001503,-0.0001503,0,0.2101,,,0,2.77,0.7,-0.33,0,0.247,0.062,-0.029,0,8.1,,,0,0.0255,,,0,M-R relationship,0,,,0,26.93,1.69,-1.57,0,576,,,0,0,,5816,99.93,-113.54,0,1.02,0.23,-0.09,0,1.02,0.06,-0.05,0,0.03,0.126,-0.16,0,[Fe/H],4.43,0.07,-0.16,0,19h24m08.07s,291.0336333,+42d16m04.24s,42.2678448,1101.42,28.41,-28.41,14.923,0.149,-0.149,13.496,0.035,-0.035,14.9984,0.000386,-0.000386
Kepler-1078 b,Kepler-1078,1,1,Transit,2016,Kepler,0,3.00725242,0.00001242,-0.00001242,0,0.0388,,,0,1.9,0.3,-0.33,0,0.17,0.027,-0.029,0,4.27,,,0,0.0134,,,0,M-R relationship,0,,,0,373.99,248.39,-88.89,0,1122,,,0,0,,5612,100.22,-123.53,0,0.92,0.12,-0.07,0,0.94,0.05,-0.05,0,-0.01,0.142,-0.186,0,[Fe/H],4.49,0.06,-0.12,0,19h32m48.14s,293.2005664,+43d03m00.14s,43.0500379,2481.71,246.155,-246.155,15.703,0.103,-0.103,13.932,0.071,-0.071,15.6075,0.000426,-0.000426
Kepler-1079 b,Kepler-1079,1,1,Transit,2016,Kepler,0,13.24503188,0.00004886,-0.00004886,0,0.1092,,,0,1.63,0.33,-0.28,0,0.145,0.029,-0.025,0,3.29,,,0,0.0104,,,0,M-R relationship,0,,,0,195.35,6.51,-6.25,0,887,,,0,0,,5758,90.64,-84.62,0,1.36,0.27,-0.23,0,1.08,0.12,-0.06,0,0.21,0.098,-0.128,0,[Fe/H],4.21,0.14,-0.12,0,19h58m11.90s,299.5495794,+45d46m10.84s,45.7696769,591.098,,,12.78,0.08,-0.08,11.056,0.026,-0.026,,,
Kepler-108 b,Kepler-108,2,2,Transit,2014,Kepler,0,49.183921,0.000054,-0.000054,0,0.292,,,0,8.65,0.48,-0.48,0,0.772,0.043,-0.043,0,56,,,0,0.176,,,0,M-R relationship,0.22,0.19,-0.12,0,47.4,9.4,-8.38,0,669,,,0,0,,5854,92,-92,0,2.19,0.12,-0.12,0,1.25,0.08,-0.07,0,0.326,0.012,-0.012,0,[M/H],3.9,0.08,-0.08,0,19h38m14.16s,294.5589885,+46d03m44.62s,46.0623952,338.732,,,12.657,0.069,-0.069,10.983,0.017,-0.017,13.0843,0.015753,-0.015753
Kepler-108 c,Kepler-108,2,2,Transit,2014,Kepler,0,190.323494,0.000988,-0.000988,0,0.721,,,0,8.18,0.51,-0.51,0,0.73,0.045,-0.045,0,50.9,,,0,0.16,,,0,M-R relationship,0.04,0.19,-0.04,0,7.8,1.55,-1.38,0,426,,,0,1,,5854,92,-92,0,2.19,0.12,-0.12,0,1.25,0.08,-0.07,0,0.326,0.012,-0.012,0,[M/H],3.9,0.08,-0.08,0,19h38m14.16s,294.5589885,+46d03m44.62s,46.0623952,338.732,,,12.657,0.069,-0.069,10.983,0.017,-0.017,13.0843,0.015753,-0.015753
Kepler-1080 b,Kepler-1080,1,1,Transit,2016,Kepler,0,77.2548396,0.0003198,-0.0003198,0,0.3781,,,0,3.28,1.13,-0.5,0,0.293,0.101,-0.045,0,10.8,,,0,0.0339,,,0,M-R relationship,0,,,0,55.45,2.44,-2.32,0,548,,,0,0,,5956,70.4,-87.98,0,1.16,0.4,-0.14,0,1.1,0.1,-0.06,0,0.09,0.147,-0.143,0,[Fe/H],4.35,0.1,-0.22,0,19h45m51.48s,296.4644914,+49d10m58.42s,49.1828952,1382.82,26.61,-26.61,13.486,0.092,-0.092,12.176,0.021,-0.021,13.4086,0.000244,-0.000244
Kepler-1081 b,Kepler-1081,1,1,Transit,2016,Kepler,0,3.85691855,0.00000966,-0.00000966,0,0.0466,,,0,1.01,0.1,-0.07,0,0.09,0.009,-0.006,0,1.01,,,0,0.00317,,,0,M-R relationship,0,,,0,225.22,5.32,-5.22,0,972,,,0,0,,5345,67.9,-84.9,0,0.84,0.07,-0.05,0,0.88,0.04,-0.04,0,0.01,0.141,-0.155,0,[Fe/H],4.54,0.04,-0.09,0,19h17m46.74s,289.444752,+41d19m04.67s,41.3179652,420.215,2.776,-2.776,13.827,0.126,-0.126,11.907,0.021,-0.021,13.7114,0.00021,-0.00021
Kepler-1082 b,Kepler-1082,1,1,Transit,2016,Kepler,0,1.5432066,0.00000454,-0.00000454,0,0.0257,,,0,1.12,0.18,-0.13,0,0.1,0.016,-0.012,0,1.46,,,0,0.00459,,,0,M-R relationship,0,,,0,2949.56,84.95,-82.35,0,1827,,,0,0,,5923,80.65,-64.28,0,1.14,0.18,-0.13,0,1.03,0.06,-0.06,0,-0.06,0.105,-0.125,0,[Fe/H],4.33,0.11,-0.1,0,19h17m26.08s,289.3586737,+50d35m54.42s,50.5984489,739.557,7.8,-7.641,13.444,0.069,-0.069,11.97,0.021,-0.021,13.3417,0.000223,-0.000223
Kepler-1083 b,Kepler-1083,1,1,Transit,2016,Kepler,0,33.4177993,0.0001854,-0.0001854,0,0.1899,,,0,3.36,0.16,-0.63,0,0.3,0.014,-0.056,0,11.2,,,0,0.0354,,,0,M-R relationship,0,,,0,10.15,0.8,-0.73,0,448,,,0,0,,5049,45.47,-46.43,0,0.77,0.03,-0.04,0,0.81,0.04,-0.04,0,-0.02,0.155,-0.166,0,[Fe/H],4.58,0.02,-0.05,0,18h52m38.85s,283.1618831,+45d11m54.01s,45.198336,902.633,24.999,-23.709,16.103,0.035,-0.035,13.815,0.058,-0.058,15.8498,0.000516,-0.000516
Kepler-1084 b,Kepler-1084,1,1,Transit,2016,Kepler,0,2.05333679,0.00000413,-0.00000413,0,0.0324,,,0,1.11,0.23,-0.15,0,0.099,0.021,-0.013,0,1.41,,,0,0.00444,,,0,M-R relationship,0,,,0,1766.59,57.07,-55.29,0,1737,,,0,0,,6113,63.72,-75.56,0,1.28,0.27,-0.17,0,1.12,0.07,-0.06,0,-0.02,0.083,-0.108,0,[Fe/H],4.27,0.12,-0.13,0,19h20m24.48s,290.1019809,+48d15m04.13s,48.251146,405.533,5.621,-5.472,12.015,0.034,-0.034,10.836,0.018,-0.018,12.1577,0.00022,-0.00022
Kepler-1085 b,Kepler-1085,1,2,Transit,2016,Kepler,0,219.3217528,0.0008946,-0.0008946,0,0.7391,,,0,7.22,1.77,-0.74,0,0.644,0.158,-0.066,0,41.2,,,0,0.13,,,0,M-R relationship,0,,,0,2.06,0.16,-0.15,0,313,,,0,0,,6000,83.83,-89.9,0,1.14,0.31,-0.11,0,1.11,0.09,-0.06,0,0.08,0.145,-0.158,0,[Fe/H],4.37,0.08,-0.18,0,19h09m54.63s,287.4776359,+46d08m28.21s,46.1411685,1364.53,45.24,-42.47,15.273,0.115,-0.115,13.891,0.046,-0.046,15.2469,0.000378,-0.000378
Kepler-1085 c,Kepler-1085,1,2,Transit,2020,Kepler,0,56.7771,,,0,0.3002,,,0,3.268,,,0,0.292,,,0,10.7,,,0,0.0337,,,0,M-R relationship,0,,,0,13.74,10.38,-4.03,0,491,,,0,0,,5816,122,-122,0,1.08,,,0,1.05,,,0,0.07,0.14,-0.33,0,[Fe/H],4.39,,,0,19h09m54.63s,287.4776359,+46d08m28.21s,46.1411685,1364.53,45.24,-42.47,15.273,0.115,-0.115,13.891,0.046,-0.046,15.2469,0.000378,-0.000378
Kepler-1086 b,Kepler-1086,2,2,Transit,2016,Kepler,0,18.78425728,0.00005283,-0.00005283,0,0.1198,,,0,2.44,0.35,-0.28,0,0.218,0.031,-0.025,0,6.53,,,0,0.0205,,,0,M-R relationship,0,,,0,9.16,0.38,-0.36,0,433,,,0,0,,4350,45.98,-34.14,0,0.66,0.01,-0.02,0,0.7,0.02,-0.03,0,0.06,0.094,-0.129,0,[Fe/H],4.65,0.01,-0.02,0,19h41m00.28s,295.251187,+45d50m34.63s,45.8429537,466.084,7.178,-7.178,16.002,0.069,-0.069,12.941,0.028,-0.028,15.5551,0.000643,-0.000643
Kepler-1086 c,Kepler-1086,2,2,Transit,2016,Kepler,0,161.5163345,0.0008629,-0.0008629,0,0.503,,,0,2.94,0.11,-0.13,0,0.262,0.01,-0.012,0,8.96,,,0,0.0282,,,0,M-R relationship,0,,,0,0.52,0.02,-0.02,0,211,,,0,0,,4350,45.98,-34.14,0,0.66,0.01,-0.02,0,0.7,0.02,-0.03,0,0.06,0.094,-0.129,0,[Fe/H],4.65,0.01,-0.02,0,19h41m00.28s,295.251187,+45d50m34.63s,45.8429537,466.084,7.178,-7.178,16.002,0.069,-0.069,12.941,0.028,-0.028,15.5551,0.000643,-0.000643
Kepler-1087 b,Kepler-1087,1,1,Transit,2016,Kepler,0,0.69384285,0.00000159,-0.00000159,0,0.0148,,,0,0.61,0.17,-0.05,0,0.054,0.015,-0.004,0,0.165,,,0,0.00052,,,0,M-R relationship,0,,,0,3496.49,89.41,-87.25,0,2161,,,0,0,,5589,122.9,-191.41,0,0.94,0.26,-0.07,0,0.96,0.07,-0.06,0,0.01,0.153,-0.255,0,[Fe/H],4.48,0.06,-0.2,0,19h39m54.94s,294.9789253,+46d00m20.43s,46.0056741,362.623,3.508,-3.443,12.973,0.057,-0.057,11.213,0.018,-0.018,12.9007,0.000226,-0.000226
Kepler-1088 b,Kepler-1088,1,1,Transit,2016,Kepler,0,23.12748644,0.00008919,-0.00008919,0,0.1602,,,0,1.42,0.11,-0.1,0,0.127,0.01,-0.009,0,2.6,,,0,0.00819,,,0,M-R relationship,0,,,0,44.89,0.69,-0.67,0,667,,,0,0,,5975,64.37,-58.16,0,1.08,0.08,-0.06,0,1.08,0.03,-0.03,0,0.05,0.082,-0.082,0,[Fe/H],4.4,0.05,-0.06,0,18h46m14.75s,281.5614578,+42d27m01.47s,42.4504087,280.629,1.575,-1.558,11.472,0.013,-0.013,10.476,0.011,-0.011,11.778,0.000188,-0.000188
Kepler-1089 b,Kepler-1089,1,1,Transit,2016,Kepler,0,5.13248562,0.00000948,-0.00000948,0,0.0497,,,0,1.83,0.1,-0.34,0,0.163,0.009,-0.03,0,4.01,,,0,0.0126,,,0,M-R relationship,0,,,0,26.27,2.71,-2.49,0,584,,,0,0,,3753,32.38,-32.55,0,0.49,0.03,-0.03,0,0.52,0.03,-0.03,0,-0.09,0.087,-0.084,0,[Fe/H],4.76,0.03,-0.02,0,19h24m22.24s,291.0926509,+49d11m24.62s,49.1901729,259.328,2.538,-2.49,16.233,0.389,-0.389,12.386,0.028,-0.028,15.5982,0.000587,-0.000587
Kepler-109 b,Kepler-109,1,2,Transit,2014,Kepler,0,6.48163,,,0,0.0683,,,0,2.37,0.07,-0.07,0,0.211,0.006,-0.006,0,7.3,,,1,0.02297,,,1,Mass,0.21,0.09,-0.21,0,432.33,11.92,-11.62,0,1145,,,0,0,,5952,75,-75,0,1.32,0.04,-0.04,0,1.04,0.06,-0.06,0,-0.08,0.1,-0.1,0,[Fe/H],4.21,0.04,-0.04,0,19h21m34.24s,290.3926795,+40d17m05.67s,40.2849074,474.861,5.349,-5.233,12.398,0.057,-0.057,11.001,0.017,-0.017,12.2955,0.000137,-0.000137
Kepler-109 c,Kepler-109,1,2,Transit,2014,Kepler,0,21.2227,,,0,0.1506,,,0,2.52,0.07,-0.07,0,0.225,0.006,-0.006,0,21.8,,,1,0.06859,,,1,Mass,0.03,0.19,-0.03,0,88.92,2.45,-2.39,0,771,,,0,0,,5952,75,-75,0,1.32,0.04,-0.04,0,1.04,0.06,-0.06,0,-0.08,0.1,-0.1,0,[Fe/H],4.21,0.04,-0.04,0,19h21m34.24s,290.3926795,+40d17m05.67s,40.2849074,474.861,5.349,-5.233,12.398,0.057,-0.057,11.001,0.017,-0.017,12.2955,0.000137,-0.000137
Kepler-1090 b,Kepler-1090,1,1,Transit,2016,Kepler,0,198.680179,0.002176,-0.002176,0,0.6364,,,0,2.25,0.21,-0.17,0,0.201,0.019,-0.015,0,5.69,,,0,0.0179,,,0,M-R relationship,0,,,0,1.82,0.13,-0.12,0,297,,,0,0,,5321,147.76,-145.36,0,0.82,0.07,-0.05,0,0.86,0.05,-0.05,0,-0.04,0.149,-0.165,0,[Fe/H],4.55,0.04,-0.07,0,19h42m39.10s,295.6629002,+44d31m32.97s,44.5258237,858.77,28.36,-26.632,15.31,0.103,-0.103,13.07,0.025,-0.025,14.9963,0.000423,-0.000423
Kepler-1091 b,Kepler-1091,1,1,Transit,2016,Kepler,0,1.43474156,0.00000327,-0.00000327,0,0.0252,,,0,1.46,0.36,-0.19,0,0.13,0.032,-0.017,0,2.73,,,0,0.00859,,,0,M-R relationship,0,,,0,1740.86,94.84,-89.41,0,1664,,,0,0,,5851,286.31,-232.4,0,1.03,0.25,-0.13,0,1.01,0.12,-0.08,0,0,0.134,-0.179,0,[Fe/H],4.42,0.09,-0.16,0,19h59m08.51s,299.7854426,+43d40m14.60s,43.6707235,914.299,19.236,-18.471,14.874,0.092,-0.092,13.059,0.034,-0.034,14.7151,0.000291,-0.000291
Kepler-1092 b,Kepler-1092,1,1,Transit,2016,Kepler,0,58.6017925,0.0006006,-0.0006006,0,0.2996,,,0,2.07,0.37,-0.24,0,0.185,0.033,-0.021,0,4.94,,,0,0.0155,,,0,M-R relationship,0,,,0,17.02,0.81,-0.77,0,508,,,0,0,,5862,195.01,-156.05,0,1,0.18,-0.1,0,0.99,0.09,-0.07,0,-0.09,0.164,-0.195,0,[Fe/H],4.44,0.07,-0.13,0,19h50m53.57s,297.7232008,+47d06m45.66s,47.1126833,981.233,17.7585,-17.7585,14.659,0.092,-0.092,13.076,0.031,-0.031,14.6163,0.000261,-0.000261
Kepler-1093 b,Kepler-1093,1,2,Transit,2016,Kepler,0,25.0824626,0.0001211,-0.0001211,0,0.1685,,,0,1.95,0.62,-0.25,0,0.174,0.055,-0.022,0,4.46,,,0,0.014,,,0,M-R relationship,0,,,0,85.76,67.71,-40.24,0,776,,,0,0,,6166,147.64,-138.45,0,1.2,0.38,-0.15,0,1.13,0.14,-0.09,0,-0.01,0.132,-0.203,0,[Fe/H],4.33,0.1,-0.2,0,18h59m54.73s,284.9780251,+41d25m12.75s,41.4202077,1072.88,21.085,-21.085,13.781,0.08,-0.08,12.484,0.031,-0.031,13.8084,0.000236,-0.000236
Kepler-1093 c,Kepler-1093,1,2,Transit,2016,Kepler,0,89.722292,0.00108,-0.00108,0,0.394,,,0,1.96,0.72,-0.27,0,0.175,0.064,-0.024,0,4.5,,,0,0.0142,,,0,M-R relationship,0,,,0,15.69,12.38,-7.36,0,508,,,0,0,,6166,147.64,-138.45,0,1.2,0.38,-0.15,0,1.13,0.14,-0.09,0,-0.01,0.132,-0.203,0,[Fe/H],4.33,0.1,-0.2,0,18h59m54.73s,284.9780251,+41d25m12.75s,41.4202077,1072.88,21.085,-21.085,13.781,0.08,-0.08,12.484,0.031,-0.031,13.8084,0.000236,-0.000236
Kepler-1094 b,Kepler-1094,1,1,Transit,2016,Kepler,0,78.1000231,0.0006388,-0.0006388,0,0.3625,,,0,3.18,1.2,-0.46,0,0.284,0.107,-0.041,0,10.2,,,0,0.0322,,,0,M-R relationship,0,,,0,10.34,1.05,-0.94,0,480,,,0,0,,6112,127.39,-187.65,0,1.21,0.46,-0.17,0,1.14,0.16,-0.09,0,0.06,0.135,-0.148,0,[Fe/H],4.33,0.1,-0.23,0,19h29m12.29s,292.3012109,+38d16m01.19s,38.2669983,1291.01,55.4,-55.4,15.318,0.046,-0.046,13.542,0.048,-0.048,14.9607,0.000401,-0.000401
Kepler-1095 b,Kepler-1095,1,1,Transit,2016,Kepler,0,4.27103091,0.0000148,-0.0000148,0,0.0514,,,0,1.21,0.2,-0.12,0,0.108,0.018,-0.011,0,1.92,,,0,0.00606,,,0,M-R relationship,0,,,0,356.54,321.74,-105.42,0,1108,,,0,0,,5658,206.29,-136.1,0,0.92,0.14,-0.09,0,0.94,0.07,-0.07,0,-0.09,0.158,-0.195,0,[Fe/H],4.48,0.06,-0.12,0,19h33m02.98s,293.2624215,+41d21m54.06s,41.3650155,792.522,11.7885,-11.7885,14.597,0.149,-0.149,12.899,0.038,-0.038,14.5261,0.000293,-0.000293
Kepler-1096 b,Kepler-1096,1,1,Transit,2016,Kepler,0,2.89221751,0.000006,-0.000006,0,0.034,,,0,1.24,0.37,-0.08,0,0.111,0.033,-0.007,0,2.07,,,0,0.00651,,,0,M-R relationship,0,,,0,124.87,3.86,-3.72,0,794,,,0,0,,4306,53.07,-39.79,0,0.63,0.02,-0.03,0,0.66,0.03,-0.03,0,-0.1,0.132,-0.098,0,[Fe/H],4.66,0.02,-0.02,0,19h38m50.27s,294.7094688,+45d58m10.39s,45.9695533,377.976,4.1455,-4.1455,15.438,0.114,-0.114,12.384,0.023,-0.023,15.0615,0.000398,-0.000398
Kepler-1097 b,Kepler-1097,1,1,Transit,2016,Kepler,0,187.747029,0.001894,-0.001894,0,0.5791,,,0,3.26,0.26,-0.26,0,0.291,0.023,-0.023,0,10.7,,,0,0.0336,,,0,M-R relationship,0,,,0,1.3,0.06,-0.06,0,267,,,0,1,,5211,77.13,-86.77,0,0.79,0.05,-0.05,0,0.82,0.04,-0.06,0,-0.11,0.17,-0.176,0,[Fe/H],4.57,0.04,-0.06,0,18h46m22.59s,281.5941261,+42d35m47.02s,42.5963949,719.802,12.838,-12.404,15.652,0.023,-0.023,13.252,0.031,-0.031,15.2071,0.000452,-0.000452
Kepler-1098 b,Kepler-1098,1,1,Transit,2016,Kepler,0,2.54307286,0.00000959,-0.00000959,0,0.0358,,,0,1.3,0.24,-0.14,0,0.116,0.021,-0.012,0,2.24,,,0,0.00705,,,0,M-R relationship,0,,,0,995.67,53.52,-50.45,0,1319,,,0,0,,5794,204.81,-216.42,0,0.99,0.18,-0.11,0,0.99,0.1,-0.07,0,-0.02,0.141,-0.173,0,[Fe/H],4.45,0.07,-0.13,0,19h42m00.64s,295.502673,+43d13m57.72s,43.2326992,1049.19,22.36,-21.46,14.886,0.092,-0.092,13.07,0.033,-0.033,14.7332,0.000269,-0.000269
Kepler-1099 b,Kepler-1099,1,1,Transit,2016,Kepler,0,2.16845259,0.0000028,-0.0000028,0,0.0337,,,0,2.83,0.43,-0.51,0,0.252,0.038,-0.045,0,8.4,,,0,0.0264,,,0,M-R relationship,0,,,0,766.34,52.11,-48.36,0,1558,,,0,0,,5837,92.89,-82.61,0,1,0.14,-0.08,0,1.01,0.05,-0.06,0,-0.02,0.143,-0.177,0,[Fe/H],4.45,0.06,-0.12,0,19h14m60.00s,288.7499866,+48d16m37.62s,48.2771163,1022.8,26.54,-25.25,15.137,0.092,-0.092,13.697,0.046,-0.046,15.1336,0.000379,-0.000379
