pl_name,hostname,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
Kepler-33 f,Kepler-33,1.69,0.26,-0.42,0,1.1,0.12,-0.11,0
Kepler-33 f,Kepler-33,1.66,0.08,-0.07,0,,,,
Kepler-33 f,Kepler-33,1.69,,,0,1.1,,,0
Kepler-33 f,Kepler-33,1.69,0.26,-0.42,0,1.1,0.12,-0.11,0
Kepler-33 f,Kepler-33,1.71,,,0,1.07,,,0
Kepler-33 f,Kepler-33,1.71,,,0,1.07,,,0
Kepler-33 f,Kepler-33,1.69,0.4,-0.38,0,1.1,0.18,-0.12,0
Kepler-330 b,Kepler-330,0.74,0.12,-0.06,0,0.82,0.07,-0.09,0
Kepler-330 b,Kepler-330,0.74,0.12,-0.06,0,0.82,0.07,-0.09,0
Kepler-330 b,Kepler-330,0.81,,,0,0.82,,,0
Kepler-330 b,Kepler-330,0.72,0.27,-0.27,0,,,,
Kepler-330 b,Kepler-330,0.81,0.03,-0.06,0,0.78,0.05,-0.03,0
Kepler-330 b,Kepler-330,0.74,0.12,-0.06,0,0.82,0.07,-0.09,0
Kepler-330 b,Kepler-330,0.76,0.04,-0.05,0,0.79,0.04,-0.05,0
Kepler-330 b,Kepler-330,0.79,0.04,-0.04,0,,,,
Kepler-330 b,Kepler-330,0.69,0.16,-0.16,0,0.79,0.03,-0.03,0
Kepler-330 b,Kepler-330,0.81,,,0,0.82,,,0
Kepler-330 c,Kepler-330,0.81,,,0,0.82,,,0
Kepler-330 c,Kepler-330,0.81,0.03,-0.06,0,0.78,0.05,-0.03,0
Kepler-330 c,Kepler-330,0.81,,,0,0.82,,,0
Kepler-330 c,Kepler-330,0.79,0.04,-0.04,0,,,,
Kepler-330 c,Kepler-330,0.76,0.04,-0.05,0,0.79,0.04,-0.05,0
Kepler-330 c,Kepler-330,0.74,0.12,-0.06,0,0.82,0.07,-0.09,0
Kepler-330 c,Kepler-330,0.74,0.12,-0.06,0,0.82,0.07,-0.09,0
Kepler-330 c,Kepler-330,0.72,0.27,-0.27,0,,,,
Kepler-330 c,Kepler-330,0.74,0.12,-0.06,0,0.82,0.07,-0.09,0
Kepler-330 c,Kepler-330,0.69,0.16,-0.16,0,0.79,0.03,-0.03,0
Kepler-330 c,Kepler-330,0.81,,,0,0.82,,,0
Kepler-331 b,Kepler-331,0.7,0.06,-0.05,0,,,,
Kepler-331 b,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 b,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 b,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 b,Kepler-331,0.49,0.05,-0.05,0,,,,
Kepler-331 b,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 b,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 b,Kepler-331,0.58,0.01,-0.01,0,0.65,0.01,-0.01,0
Kepler-331 b,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 b,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 b,Kepler-331,0.7,0.03,-0.03,0,0.74,0.03,-0.04,0
Kepler-331 c,Kepler-331,0.58,0.01,-0.01,0,0.65,0.01,-0.01,0
Kepler-331 c,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 c,Kepler-331,0.49,0.05,-0.05,0,,,,
Kepler-331 c,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 c,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 c,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 c,Kepler-331,0.7,0.06,-0.05,0,,,,
Kepler-331 c,Kepler-331,0.7,0.03,-0.03,0,0.74,0.03,-0.04,0
Kepler-331 c,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 c,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 c,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 d,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 d,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 d,Kepler-331,0.7,0.03,-0.03,0,0.74,0.03,-0.04,0
Kepler-331 d,Kepler-331,0.49,0.05,-0.05,0,,,,
Kepler-331 d,Kepler-331,0.58,0.01,-0.01,0,0.65,0.01,-0.01,0
Kepler-331 d,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 d,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-331 d,Kepler-331,0.7,0.06,-0.05,0,,,,
Kepler-331 d,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 d,Kepler-331,0.64,,,0,0.73,,,0
Kepler-331 d,Kepler-331,0.52,0.04,-0.04,0,0.54,0.04,-0.04,0
Kepler-332 b,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 b,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 b,Kepler-332,0.72,0.05,-0.03,0,0.77,0.04,-0.05,0
Kepler-332 b,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 b,Kepler-332,0.74,0.02,-0.02,0,0.8,0.03,-0.03,0
Kepler-332 b,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 b,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 b,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 b,Kepler-332,0.72,0.04,-0.04,0,,,,
Kepler-332 b,Kepler-332,0.75,0.6,-0.6,0,0.75,0.09,-0.09,0
Kepler-332 b,Kepler-332,0.69,0.03,-0.03,0,,,,
Kepler-332 c,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 c,Kepler-332,0.69,0.03,-0.03,0,,,,
Kepler-332 c,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 c,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 c,Kepler-332,0.74,0.02,-0.02,0,0.8,0.03,-0.03,0
Kepler-332 c,Kepler-332,0.72,0.05,-0.03,0,0.77,0.04,-0.05,0
Kepler-332 c,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 c,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 c,Kepler-332,0.72,0.04,-0.04,0,,,,
Kepler-332 c,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 d,Kepler-332,0.74,0.02,-0.02,0,0.8,0.03,-0.03,0
Kepler-332 d,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 d,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 d,Kepler-332,0.72,0.04,-0.04,0,,,,
Kepler-332 d,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 d,Kepler-332,0.69,0.03,-0.03,0,,,,
Kepler-332 d,Kepler-332,0.7,,,0,0.81,,,0
Kepler-332 d,Kepler-332,0.86,0.98,-0.09,0,0.8,0.14,-0.06,0
Kepler-332 d,Kepler-332,0.72,0.05,-0.03,0,0.77,0.04,-0.05,0
Kepler-332 d,Kepler-332,0.7,,,0,0.81,,,0
Kepler-333 b,Kepler-333,0.69,0.03,-0.03,0,,,,
Kepler-333 b,Kepler-333,0.6,0.03,-0.03,0,0.61,0.03,-0.03,0
Kepler-333 b,Kepler-333,0.62,,,0,0.7,,,0
Kepler-333 b,Kepler-333,0.57,0.01,-0.01,0,0.6,0.01,-0.01,0
Kepler-333 b,Kepler-333,0.64,0.04,-0.04,0,0.67,0.07,-0.07,0
Kepler-333 b,Kepler-333,0.62,,,0,0.7,,,0
Kepler-333 b,Kepler-333,0.58,0.06,-0.05,0,0.59,0.06,-0.05,0
Kepler-333 b,Kepler-333,0.53,0.05,-0.05,0,,,,
Kepler-333 b,Kepler-333,0.62,,,0,0.7,,,0
Kepler-333 b,Kepler-333,0.58,0.06,-0.05,0,0.59,0.06,-0.05,0
Kepler-333 b,Kepler-333,0.63,0.02,-0.02,0,0.66,0.03,-0.03,0
Kepler-333 b,Kepler-333,0.64,,,0,0.67,,,0
Kepler-333 b,Kepler-333,0.58,0.06,-0.05,0,0.59,0.06,-0.05,0
Kepler-333 c,Kepler-333,0.62,,,0,0.7,,,0
Kepler-333 c,Kepler-333,0.63,0.02,-0.02,0,0.66,0.03,-0.03,0
Kepler-333 c,Kepler-333,0.58,0.06,-0.05,0,0.59,0.06,-0.05,0
Kepler-333 c,Kepler-333,0.6,0.03,-0.03,0,0.61,0.03,-0.03,0
Kepler-333 c,Kepler-333,0.69,0.03,-0.03,0,,,,
Kepler-333 c,Kepler-333,0.57,0.01,-0.01,0,0.6,0.01,-0.01,0
Kepler-333 c,Kepler-333,0.53,0.05,-0.05,0,,,,
Kepler-333 c,Kepler-333,0.62,,,0,0.7,,,0
Kepler-333 c,Kepler-333,0.64,0.04,-0.04,0,0.67,0.07,-0.07,0
Kepler-333 c,Kepler-333,0.58,0.06,-0.05,0,0.59,0.06,-0.05,0
Kepler-333 c,Kepler-333,0.64,,,0,0.67,,,0
Kepler-333 c,Kepler-333,0.58,0.06,-0.05,0,0.59,0.06,-0.05,0
Kepler-333 c,Kepler-333,0.62,,,0,0.7,,,0
Kepler-334 b,Kepler-334,1.11,0.14,-0.09,0,1.07,0.04,-0.04,0
Kepler-334 b,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 b,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 b,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 b,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 b,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 b,Kepler-334,1,0.66,-0.66,0,1.06,0.15,-0.15,0
Kepler-334 b,Kepler-334,1.01,0.04,-0.04,0,,,,
Kepler-334 b,Kepler-334,1.09,0.17,-0.15,0,0.96,0.08,-0.06,0
Kepler-334 b,Kepler-334,1.07,0.19,-0.19,0,,,,
Kepler-334 b,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 c,Kepler-334,1.11,0.14,-0.09,0,1.07,0.04,-0.04,0
Kepler-334 c,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 c,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 c,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 c,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 c,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 c,Kepler-334,1.07,0.19,-0.19,0,,,,
Kepler-334 c,Kepler-334,1,0.66,-0.66,0,1.06,0.15,-0.15,0
Kepler-334 c,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 c,Kepler-334,1.09,0.17,-0.15,0,0.96,0.08,-0.06,0
Kepler-334 c,Kepler-334,1.01,0.04,-0.04,0,,,,
Kepler-334 d,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 d,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 d,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 d,Kepler-334,1.09,0.17,-0.15,0,0.96,0.08,-0.06,0
Kepler-334 d,Kepler-334,1.01,0.04,-0.04,0,,,,
Kepler-334 d,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-334 d,Kepler-334,1.02,0.07,-0.04,0,1.07,0.14,-0.14,0
Kepler-334 d,Kepler-334,1,0.66,-0.66,0,1.06,0.15,-0.15,0
Kepler-334 d,Kepler-334,1.07,0.19,-0.19,0,,,,
Kepler-334 d,Kepler-334,1.11,0.14,-0.09,0,1.07,0.04,-0.04,0
Kepler-334 d,Kepler-334,1,0.19,-0.08,0,0.96,0.06,-0.07,0
Kepler-335 b,Kepler-335,1.81,0.28,-0.46,0,1.21,0.13,-0.13,0
Kepler-335 b,Kepler-335,1.84,,,0,1.08,,,0
Kepler-335 b,Kepler-335,0.93,0.31,-0.31,0,1.03,0.06,-0.06,0
Kepler-335 b,Kepler-335,0.93,0.35,-0.08,0,1.02,0.12,-0.12,0
Kepler-335 b,Kepler-335,1.84,,,0,1.08,,,0
Kepler-335 b,Kepler-335,1.82,0.09,-0.08,0,,,,
Kepler-335 b,Kepler-335,1.85,0.35,-0.35,0,,,,
Kepler-335 b,Kepler-335,1.84,,,0,1.08,,,0
Kepler-335 b,Kepler-335,0.93,0.35,-0.08,0,1.02,0.12,-0.12,0
Kepler-335 b,Kepler-335,0.93,0.35,-0.08,0,1.02,0.12,-0.12,0
Kepler-335 b,Kepler-335,1.68,0.29,-0.31,0,1.23,0.14,-0.11,0
Kepler-335 c,Kepler-335,1.84,,,0,1.08,,,0
Kepler-335 c,Kepler-335,0.93,0.35,-0.08,0,1.02,0.12,-0.12,0
Kepler-335 c,Kepler-335,1.85,0.35,-0.35,0,,,,
Kepler-335 c,Kepler-335,1.84,,,0,1.08,,,0
Kepler-335 c,Kepler-335,1.82,0.09,-0.08,0,,,,
Kepler-335 c,Kepler-335,0.93,0.35,-0.08,0,1.02,0.12,-0.12,0
Kepler-335 c,Kepler-335,1.81,0.28,-0.46,0,1.21,0.13,-0.13,0
Kepler-335 c,Kepler-335,0.93,0.35,-0.08,0,1.02,0.12,-0.12,0
Kepler-335 c,Kepler-335,1.68,0.29,-0.31,0,1.23,0.14,-0.11,0
Kepler-336 b,Kepler-336,,,,,,,,
Kepler-336 b,Kepler-336,,,,,,,,
Kepler-336 b,Kepler-336,1.3,0.23,-0.23,0,,,,
Kepler-336 b,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 b,Kepler-336,1.21,0.18,-0.14,0,1.09,0.06,-0.04,0
Kepler-336 b,Kepler-336,0.96,0.31,-0.31,0,1.06,0.06,-0.06,0
Kepler-336 b,Kepler-336,1.27,0.21,-0.21,0,1.09,0.09,-0.09,0
Kepler-336 b,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 b,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 c,Kepler-336,1.27,0.21,-0.21,0,1.09,0.09,-0.09,0
Kepler-336 c,Kepler-336,0.96,0.31,-0.31,0,1.06,0.06,-0.06,0
Kepler-336 c,Kepler-336,,,,,,,,
Kepler-336 c,Kepler-336,1.3,0.23,-0.23,0,,,,
Kepler-336 c,Kepler-336,1.21,0.18,-0.14,0,1.09,0.06,-0.04,0
Kepler-336 c,Kepler-336,,,,,,,,
Kepler-336 c,Kepler-336,,,,,,,,
Kepler-336 c,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 c,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 c,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 d,Kepler-336,0.96,0.31,-0.31,0,1.06,0.06,-0.06,0
Kepler-336 d,Kepler-336,,,,,,,,
Kepler-336 d,Kepler-336,,,,,,,,
Kepler-336 d,Kepler-336,,,,,,,,
Kepler-336 d,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 d,Kepler-336,1.3,0.23,-0.23,0,,,,
Kepler-336 d,Kepler-336,1.27,0.21,-0.21,0,1.09,0.09,-0.09,0
Kepler-336 d,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 d,Kepler-336,0.86,0.37,-0.07,0,0.94,0.11,-0.11,0
Kepler-336 d,Kepler-336,1.21,0.18,-0.14,0,1.09,0.06,-0.04,0
Kepler-337 b,Kepler-337,1.82,0.08,-0.08,0,,,,
Kepler-337 b,Kepler-337,1.47,0.23,-0.34,0,1.01,0.09,-0.08,0
Kepler-337 b,Kepler-337,1.42,0.23,-0.26,0,0.97,0.09,-0.07,0
Kepler-337 b,Kepler-337,1.79,0.09,-0.12,0,1.01,0.15,-0.11,0
Kepler-337 b,Kepler-337,1.46,0.38,-0.38,0,1.02,0.1,-0.1,0
Kepler-337 b,Kepler-337,1.79,0.09,-0.12,0,1.01,0.15,-0.11,0
Kepler-337 b,Kepler-337,1.42,0.23,-0.26,0,0.97,0.09,-0.07,0
Kepler-337 b,Kepler-337,1.38,0.28,-0.24,0,1.05,0.08,-0.05,0
Kepler-337 b,Kepler-337,1.42,0.23,-0.26,0,0.97,0.09,-0.07,0
Kepler-337 b,Kepler-337,1.76,0.48,-0.48,0,,,,
Kepler-337 b,Kepler-337,1.79,0.09,-0.12,0,1.01,0.15,-0.11,0
Kepler-337 c,Kepler-337,1.76,0.48,-0.48,0,,,,
Kepler-337 c,Kepler-337,1.82,0.08,-0.08,0,,,,
Kepler-337 c,Kepler-337,1.47,0.23,-0.34,0,1.01,0.09,-0.08,0
Kepler-337 c,Kepler-337,1.79,0.09,-0.12,0,1.01,0.15,-0.11,0
Kepler-337 c,Kepler-337,1.46,0.38,-0.38,0,1.02,0.1,-0.1,0
Kepler-337 c,Kepler-337,1.38,0.28,-0.24,0,1.05,0.08,-0.05,0
Kepler-337 c,Kepler-337,1.79,0.09,-0.12,0,1.01,0.15,-0.11,0
Kepler-337 c,Kepler-337,1.42,0.23,-0.26,0,0.97,0.09,-0.07,0
Kepler-337 c,Kepler-337,1.42,0.23,-0.26,0,0.97,0.09,-0.07,0
Kepler-337 c,Kepler-337,1.42,0.23,-0.26,0,0.97,0.09,-0.07,0
Kepler-337 c,Kepler-337,1.79,0.09,-0.12,0,1.01,0.15,-0.11,0
Kepler-338 b,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 b,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 b,Kepler-338,1.77,0.08,-0.07,0,,,,
Kepler-338 b,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 b,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 b,Kepler-338,1.74,0.08,-0.08,0,,,,
Kepler-338 b,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 b,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 b,Kepler-338,1.74,,,0,1.14,,,0
Kepler-338 b,Kepler-338,1.69,0.12,-0.09,0,1.09,0.09,-0.07,0
Kepler-338 b,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 b,Kepler-338,1.51,0.2,-0.2,0,1.1,0.07,-0.07,0
Kepler-338 b,Kepler-338,1.78,0.08,-0.08,0,1.2,0.06,-0.04,0
Kepler-338 c,Kepler-338,1.74,0.08,-0.08,0,,,,
Kepler-338 c,Kepler-338,1.51,0.2,-0.2,0,1.1,0.07,-0.07,0
Kepler-338 c,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 c,Kepler-338,1.69,0.12,-0.09,0,1.09,0.09,-0.07,0
Kepler-338 c,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 c,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 c,Kepler-338,1.78,0.08,-0.08,0,1.2,0.06,-0.04,0
Kepler-338 c,Kepler-338,1.77,0.08,-0.07,0,,,,
Kepler-338 c,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 c,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 c,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 c,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 d,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 d,Kepler-338,1.74,0.08,-0.08,0,,,,
Kepler-338 d,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 d,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 d,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 d,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 d,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 d,Kepler-338,1.78,0.08,-0.08,0,1.2,0.06,-0.04,0
Kepler-338 d,Kepler-338,1.77,0.08,-0.07,0,,,,
Kepler-338 d,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 d,Kepler-338,1.51,0.2,-0.2,0,1.1,0.07,-0.07,0
Kepler-338 d,Kepler-338,1.69,0.12,-0.09,0,1.09,0.09,-0.07,0
Kepler-338 e,Kepler-338,1.51,0.2,-0.2,0,1.1,0.07,-0.07,0
Kepler-338 e,Kepler-338,1.77,0.08,-0.07,0,,,,
Kepler-338 e,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 e,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 e,Kepler-338,1.78,0.08,-0.08,0,1.2,0.06,-0.04,0
Kepler-338 e,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 e,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-338 e,Kepler-338,1.69,0.12,-0.09,0,1.09,0.09,-0.07,0
Kepler-338 e,Kepler-338,1.74,,,0,1.14,,,0
Kepler-338 e,Kepler-338,1.9,0.13,-0.08,0,1.06,0.17,-0.11,0
Kepler-338 e,Kepler-338,1.74,0.08,-0.08,0,1.14,0.08,-0.08,0
Kepler-339 b,Kepler-339,1.02,0.14,-0.14,0,0.87,0.06,-0.03,0
Kepler-339 b,Kepler-339,0.8,0.36,-0.36,0,,,,
Kepler-339 b,Kepler-339,0.9,0.11,-0.06,0,0.93,0.04,-0.05,0
Kepler-339 b,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 b,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 b,Kepler-339,0.78,0.04,-0.03,0,,,,
Kepler-339 b,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 b,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 b,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 b,Kepler-339,0.83,0.27,-0.27,0,0.93,0.04,-0.04,0
Kepler-339 b,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 c,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 c,Kepler-339,1.02,0.14,-0.14,0,0.87,0.06,-0.03,0
Kepler-339 c,Kepler-339,0.9,0.11,-0.06,0,0.93,0.04,-0.05,0
Kepler-339 c,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 c,Kepler-339,0.83,0.27,-0.27,0,0.93,0.04,-0.04,0
Kepler-339 c,Kepler-339,0.78,0.04,-0.03,0,,,,
Kepler-339 c,Kepler-339,0.81,,,0,0.88,,,0
Kepler-339 c,Kepler-339,0.8,0.36,-0.36,0,,,,
Kepler-339 c,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 c,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 c,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 c,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 d,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 d,Kepler-339,0.81,,,0,0.88,,,0
Kepler-339 d,Kepler-339,1.02,0.14,-0.14,0,0.87,0.06,-0.03,0
Kepler-339 d,Kepler-339,0.83,0.27,-0.27,0,0.93,0.04,-0.04,0
Kepler-339 d,Kepler-339,0.78,0.04,-0.03,0,,,,
Kepler-339 d,Kepler-339,0.8,0.36,-0.36,0,,,,
Kepler-339 d,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 d,Kepler-339,0.77,,,0,0.96,,,0
Kepler-339 d,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 d,Kepler-339,0.81,0.32,-0.06,0,0.88,0.1,-0.09,0
Kepler-339 d,Kepler-339,0.9,0.11,-0.06,0,0.93,0.04,-0.05,0
Kepler-339 d,Kepler-339,0.77,,,0,0.96,,,0
Kepler-34 b,Kepler-34,1.16,0,0,0,1.05,0,0,0
Kepler-340 b,Kepler-340,3.18,0.7,-1.11,0,2.05,0.36,-0.4,0
Kepler-340 b,Kepler-340,1.47,0.09,-0.08,0,1.87,0.38,-0.23,0
Kepler-340 b,Kepler-340,1.68,0.08,-0.08,0,,,,
Kepler-340 b,Kepler-340,1.85,0.33,-0.4,0,1.42,0.11,-0.16,0
Kepler-340 b,Kepler-340,3.18,0.7,-1.11,0,2.05,0.36,-0.4,0
Kepler-340 b,Kepler-340,3.18,0.7,-1.11,0,2.05,0.36,-0.4,0
Kepler-340 b,Kepler-340,2.08,0.29,-0.23,0,1.65,0.1,-0.08,0
Kepler-340 b,Kepler-340,1.85,0.42,-0.42,0,,,,
Kepler-340 c,Kepler-340,3.18,0.7,-1.11,0,2.05,0.36,-0.4,0
Kepler-340 c,Kepler-340,1.47,0.09,-0.08,0,1.87,0.38,-0.23,0
Kepler-340 c,Kepler-340,3.18,0.7,-1.11,0,2.05,0.36,-0.4,0
Kepler-340 c,Kepler-340,1.85,0.42,-0.42,0,,,,
Kepler-340 c,Kepler-340,3.18,0.7,-1.11,0,2.05,0.36,-0.4,0
Kepler-340 c,Kepler-340,1.68,0.08,-0.08,0,,,,
Kepler-340 c,Kepler-340,2.83,0.86,-0.86,0,2.09,0.24,-0.24,0
Kepler-340 c,Kepler-340,2.08,0.29,-0.23,0,1.65,0.1,-0.08,0
Kepler-340 c,Kepler-340,1.47,0.09,-0.08,0,1.87,0.38,-0.23,0
Kepler-340 c,Kepler-340,1.85,0.33,-0.4,0,1.42,0.11,-0.16,0
Kepler-341 b,Kepler-341,1.2,,,0,1.01,,,0
Kepler-341 b,Kepler-341,1.11,0.16,-0.16,0,0.96,0.07,-0.05,0
Kepler-341 b,Kepler-341,1.21,0.06,-0.05,0,,,,
Kepler-341 b,Kepler-341,1.02,0.52,-0.52,0,,,,
Kepler-341 b,Kepler-341,1.01,0.4,-0.4,0,1.01,0.08,-0.08,0
Kepler-341 b,Kepler-341,1,0.4,-0.11,0,1,0.15,-0.12,0
Kepler-341 b,Kepler-341,1,0.4,-0.11,0,1,0.15,-0.12,0
Kepler-341 b,Kepler-341,1,0.4,-0.11,0,1,0.15,-0.12,0
Kepler-341 b,Kepler-341,0.99,0.28,-0.09,0,1,0.05,-0.05,0
Kepler-341 b,Kepler-341,1.2,,,0,1.01,,,0
Kepler-341 c,Kepler-341,1,0.4,-0.11,0,1,0.15,-0.12,0
Kepler-341 c,Kepler-341,1.2,,,0,1.01,,,0
Kepler-341 c,Kepler-341,1.2,,,0,1.01,,,0
Kepler-341 c,Kepler-341,1.21,0.06,-0.05,0,,,,
Kepler-341 c,Kepler-341,1.2,,,0,1.01,,,0
